"ID","Idade","Renda","Regiao","Genero","seguro auto","seguro vida Emp","seguro vida PF","Seguro Residencial","Investimento Fundos_cambiais","Investimento Fundos_commodities","Investimento LCI","Investimento LCA","Investimento Poupanca","Investimento Fundos Multimercado","Investimento Tesouro Direto","Financiamento Casa","Financiamento Carro","Emprestimo _pessoal","Emprestimo _consignado","Emprestimo _limite_especial","Emprestimo _educacao","Emprestimo _viagem","Investimento CDB","Investimento Fundos","$A-20 campos-1","$AC-20 campos-1","$A-Rule_ID-1","$A-20 campos-2","$AC-20 campos-2","$A-Rule_ID-2","$A-20 campos-3","$AC-20 campos-3","$A-Rule_ID-3"
"1004.00","40.685","8474.687","CO","1.00","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","1","0","Investimento Fundos","0.900164","12","Emprestimo _viagem","0.883252","10",,,
"1028.00","56.693","7996.353","SE","0.00","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,
"1034.00","49.413","8624.335","NE","0.00","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",,,,,,,,,
"1035.00","22.764","6885.196","S","1.00","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,
"1039.00","22.059","7749.965","NE","1.00","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,
"1048.00","56.736","6430.391","CO","1.00","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,
"1067.00","60.131","8517.631","CO","1.00","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","1","1","1","1","1","Investimento LCI","0.826283","115","Investimento Fundos_cambiais","0.822335","123",,,
"1068.00","43.942","8462.347","CO","1.00","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","1","1","1","1","1","Investimento Fundos_commodities","0.819101","124","Investimento LCI","0.810674","120",,,
"1085.00","43.369","8142.529","SE","1.00","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","seguro vida PF","0.889935","34","seguro auto","0.887013","50",,,
"1092.00","40.664","8082.479","CO","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,
"1094.00","23.826","7558.996","NE","1.00","0","1","1","1","1","1","1","1","1","1","1","1","0","0","1","0","0","1","0","0","seguro auto","0.987231","69",,,,,,
"1116.00","23.067","8017.511","NE","1.00","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","Investimento Fundos_commodities","0.822053","45","Investimento LCI","0.819812","42","Investimento Poupanca","0.814433","47"
"1119.00","21.557","7477.476","N","1.00","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0",,,,,,,,,
"1127.00","46.051","8685.551","S","0.00","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1",,,,,,,,,
"1132.00","32.248","9161.201","S","1.00","1","1","1","1","0","0","0","0","1","0","0","1","1","1","1","1","0","1","0","0",,,,,,,,,
"1177.00","50.909","7200.431","CO","1.00","1","1","1","1","0","0","1","0","0","1","0","1","1","1","1","1","0","0","0","1","Investimento CDB","0.804809","21",,,,,,
"1194.00","40.918","7333.91","SE","1.00","0","1","0","0","1","1","1","0","0","0","1","0","0","0","0","0","1","1","1","1","Investimento Poupanca","0.855811","66","Investimento LCA","0.805595","60",,,
"1198.00","35.666","7167.777","S","1.00","1","1","1","1","0","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","Investimento CDB","0.834699","2","Investimento Fundos","0.803279","1",,,
"1198.00","35.666","7167.777","S","1.00","1","1","1","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0",,,,,,,,,
"1198.00","50.695","7636.149","NE","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",,,,,,,,,
"1198.00","50.695","7636.149","NE","1.00","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0",,,,,,,,,
"1198.00","35.666","7167.777","S","1.00","1","1","1","1","1","0","0","0","0","0","1","1","1","1","1","1","1","0","0","0","Investimento CDB","0.834699","2","Investimento Fundos","0.803279","1",,,
"1198.00","50.695","7636.149","NE","1.00","0","0","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","0","0","0","Investimento CDB","0.834699","2","Investimento Fundos","0.803279","1",,,
"1198.00","50.695","7636.149","NE","1.00","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","Investimento CDB","0.834699","2","Investimento Fundos","0.803279","1",,,
"1198.00","35.666","7167.777","S","1.00","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",,,,,,,,,
"1210.00","45.278","6714.432","NE","1.00","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1",,,,,,,,,
"1217.00","56.385","7139.874","CO","0.00","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Investimento CDB","0.803087","54",,,,,,
"1239.00","68.019","7925.655","SE","0.00","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",,,,,,,,,
"1256.00","31.028","10312.052","SE","0.00","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","Investimento CDB","0.803087","54",,,,,,
"1264.00","52.149","8329.85","S","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",,,,,,,,,
"1280.00","42.927","8097.705","SE","0.00","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0",,,,,,,,,
"1284.00","33.612","8206.464","NE","0.00","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0",,,,,,,,,
"1320.00","42.747","6429.209","S","1.00","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1",,,,,,,,,
"1321.00","25.354","7946.824","SE","0.00","1","1","1","1","0","0","0","1","0","0","0","1","1","1","1","1","0","0","1","0",,,,,,,,,
"1340.00","31.478","7627.337","NE","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","Investimento CDB","0.879625","23","Emprestimo _educacao","0.801184","8",,,
"1357.00","22.048","8243.058","SE","1.00","0","0","0","0","0","1","0","1","1","0","0","0","1","1","0","0","0","0","1","1","Investimento LCI","0.945274","85","Investimento Fundos_cambiais","0.933665","96",,,
"1371.00","27.084","8434.052","NE","1.00","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,
"1376.00","53.578","6856.32","S","1.00","0","0","0","0","1","1","1","1","1","1","1","0","0","1","0","0","0","0","0","0",,,,,,,,,
"1376.00","50.08","7207.218","SE","1.00","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,
"1376.00","50.08","7207.218","SE","1.00","1","1","1","1","1","1","1","1","1","1","1","0","0","1","0","0","0","0","0","0",,,,,,,,,
"1376.00","53.578","6856.32","S","1.00","0","0","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0",,,,,,,,,
"1376.00","53.578","6856.32","S","1.00","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,
"1376.00","53.578","6856.32","S","1.00","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0",,,,,,,,,
"1376.00","50.08","7207.218","SE","1.00","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0",,,,,,,,,
"1376.00","50.08","7207.218","SE","1.00","1","1","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0",,,,,,,,,
"1387.00","47.944","7779.524","CO","1.00","0","0","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0","1","1","1","Emprestimo _educacao","0.887269","58",,,,,,
"1394.00","33.486","7445.469","S","1.00","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0",,,,,,,,,
"1403.00","49.534","7009.215","S","0.00","0","0","0","1","1","1","1","0","0","1","0","0","1","0","0","0","1","1","1","1",,,,,,,,,
"1424.00","73.64","7318.018","CO","1.00","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","Investimento LCI","0.945274","85","Investimento Fundos_cambiais","0.933665","96",,,
